node_id_a	node_id_b
9606.ENSP00000364578	10359.ICP27_HCMVM
9606.ENSP00000301072	10359.VICA_HCMVM
9606.ENSP00000371341	10359.ICP27_HCMVM
9606.ENSP00000264639	10359.UL27_HCMVM
9606.ENSP00000345216	10359.VICA_HCMVM
9606.ENSP00000295137	10359.VICA_HCMVM
9606.ENSP00000365025	10359.VIE2_HCMVM
10359.UNG_HCMVM	9606.ENSP00000263121
9606.ENSP00000339001	10359.VICA_HCMVM
9606.ENSP00000374212	10359.UL27_HCMVM
9606.ENSP00000311997	10359.VICA_HCMVM
9606.ENSP00000352928	10359.UL35_HCMVM
9606.ENSP00000387286	10359.UL27_HCMVM
9606.ENSP00000369538	10359.VICA_HCMVM
9606.ENSP00000273308	10359.ICP27_HCMVM
9606.ENSP00000378350	10359.UL21A_HCMVM
9606.ENSP00000357879	10359.UL76_HCMVM
9606.ENSP00000361202	10359.VICA_HCMVM
9606.ENSP00000301071	10359.VICA_HCMVM
9606.ENSP00000344818	10359.UL76_HCMVM
9606.ENSP00000265866	10359.UL27_HCMVM
10359.US11_HCMVM	9606.ENSP00000259512
10359.US11_HCMVM	9606.ENSP00000262213
9606.ENSP00000401802	10359.UL27_HCMVM
9606.ENSP00000228284	10359.UL35_HCMVM
9606.ENSP00000357555	10359.VICA_HCMVM
9606.ENSP00000393183	10359.UL35_HCMVM
9606.ENSP00000261769	10359.UL97_HCMVM
9606.ENSP00000363998	10359.UL42_HCMVM
9606.ENSP00000324173	10359.VIE2_HCMVM
9606.ENSP00000376176	10359.UL27_HCMVM
9606.ENSP00000240343	10359.VIE2_HCMVM
9606.ENSP00000394394	10359.UL21A_HCMVM
9606.ENSP00000324173	10359.VICA_HCMVM
9606.ENSP00000358696	10359.ICP27_HCMVM
9606.ENSP00000297268	10359.ICP27_HCMVM
9606.ENSP00000253792	10359.UL27_HCMVM
9606.ENSP00000264657	10359.UL27_HCMVM
9606.ENSP00000268058	10359.VIE1_HCMVM
9606.ENSP00000217244	10359.VIE2_HCMVM
9606.ENSP00000300291	10359.UL27_HCMVM
9606.ENSP00000290541	10359.UL27_HCMVM
10359.UL27_HCMVM	9606.ENSP00000318297
10359.UL27_HCMVM	9606.ENSP00000387286
10359.UL27_HCMVM	9606.ENSP00000301764
10359.UL27_HCMVM	9606.ENSP00000376176
10359.UL27_HCMVM	9606.ENSP00000264639
10359.UL27_HCMVM	9606.ENSP00000157812
10359.UL27_HCMVM	9606.ENSP00000401802
10359.UL27_HCMVM	9606.ENSP00000216455
10359.UL27_HCMVM	9606.ENSP00000317232
10359.UL27_HCMVM	9606.ENSP00000265866
10359.UL27_HCMVM	9606.ENSP00000374212
10359.UL27_HCMVM	9606.ENSP00000286091
10359.UL27_HCMVM	9606.ENSP00000270586
10359.UL27_HCMVM	9606.ENSP00000347733
10359.UL27_HCMVM	9606.ENSP00000290541
10359.UL27_HCMVM	9606.ENSP00000397552
10359.UL27_HCMVM	9606.ENSP00000264657
10359.UL27_HCMVM	9606.ENSP00000303992
10359.UL27_HCMVM	9606.ENSP00000408108
10359.UL27_HCMVM	9606.ENSP00000300291
10359.UL27_HCMVM	9606.ENSP00000473172
10359.UL27_HCMVM	9606.ENSP00000429084
10359.UL27_HCMVM	9606.ENSP00000290349
10359.UL27_HCMVM	9606.ENSP00000310129
10359.UL27_HCMVM	9606.ENSP00000293362
10359.UL27_HCMVM	9606.ENSP00000253792
9606.ENSP00000420357	10359.ICP27_HCMVM
9606.ENSP00000259512	10359.US11_HCMVM
10359.IL10H_HCMVM	9606.ENSP00000227752
